NAME                                   VERSION                             TYPE                       
debug                                  4.4.0                               npm        (+1 duplicate)   
deep-eql                               5.0.2                               npm                         
deep-is                                0.1.4                               npm                         
depd                                   2.0.0                               npm                         
destroy                                1.2.0                               npm                         
dns-packet                             5.6.1                               npm                         
eastasianwidth                         0.2.0                               npm        (+1 duplicate)   
ee-first                               1.1.1                               npm                         
emoji-regex                            8.0.0                               npm        (+2 duplicates)  
emoji-regex                            9.2.2                               npm        (+1 duplicate)   
enabled                                2.0.0                               npm                         
encodeurl                              1.0.2                               npm                         
encodeurl                              2.0.0                               npm                         
encoding                               0.1.13                              npm                         
env-paths                              2.2.1                               npm                         
err-code                               2.0.3                               npm                         
es-module-lexer                        1.6.0                               npm                         
esbuild                                0.25.1                              npm                         
escape-html                            1.0.3                               npm                         
escape-string-regexp                   4.0.0                               npm                         
eslint                                 9.23.0                              npm                         
eslint-config-prettier                 10.1.1                              npm                         
eslint-scope                           8.3.0                               npm                         
eslint-visitor-keys                    3.4.3                               npm                         
eslint-visitor-keys                    4.2.0                               npm                         
espree                                 10.3.0                              npm                         
esquery                                1.6.0                               npm                         
esrecurse                              4.3.0                               npm                         
estraverse                             5.3.0                               npm                         
estree-walker                          3.0.3                               npm                         
esutils                                2.0.3                               npm                         
etag                                   1.8.1                               npm                         
event-target-shim                      5.0.1                               npm                         
events                                 3.3.0                               npm                         
expect-type                            1.2.0                               npm                         
exponential-backoff                    3.1.2                               npm                         
express-static-gzip                    2.2.0                               npm                         
fast-deep-equal                        3.1.3                               npm                         
fast-glob                              3.3.3                               npm                         
fast-json-stable-stringify             2.1.0                               npm                         
fast-levenshtein                       2.0.6                               npm                         
fast-unique-numbers                    8.0.13                              npm                         
fast-uri                               3.0.6                               npm                         
fastq                                  1.19.1                              npm                         
fecha                                  4.2.3                               npm                         
file-entry-cache                       8.0.0                               npm                         
fill-range                             7.1.1                               npm                         
finalhandler                           2.1.0                               npm                         
find-up                                5.0.0                               npm                         
findutils                              4.10.0-r0                           apk                         
flat-cache                             4.0.1                               npm                         
flatted                                3.3.3                               npm                         
fn.name                                1.1.0                               npm                         
foreground-child                       3.3.0                               npm                         
foreground-child                       3.3.1                               npm                         
fresh                                  0.5.2                               npm                         
fs-minipass                            3.0.3                               npm                         
github.com/evanw/esbuild               v0.0.0-20250310034244-6bfc1c13b4d9  go-module  (+1 duplicate)   
glob                                   10.4.5                              npm        (+1 duplicate)   
glob                                   11.0.1                              npm                         
glob-parent                            5.1.2                               npm                         
glob-parent                            6.0.2                               npm                         
globals                                11.12.0                             npm                         
globals                                14.0.0                              npm                         
glossy                                 0.1.7                               npm                         
golang.org/x/sys                       v0.0.0-20220715151400-c0bba94af5f8  go-module  (+1 duplicate)   
graceful-fs                            4.2.11                              npm                         
graphemer                              1.4.0                               npm                         
has-flag                               4.0.0                               npm                         
help-me                                5.0.0                               npm                         
html-escaper                           2.0.2                               npm                         
http-cache-semantics                   4.1.1                               npm                         
http-errors                            2.0.0                               npm                         
http-proxy-agent                       7.0.2                               npm                         
https-proxy-agent                      7.0.6                               npm                         
humanize-duration                      3.32.1                              npm                         
iconv-lite                             0.6.3                               npm        (+1 duplicate)   
icu-data-en                            76.1-r0                             apk                         
icu-libs                               76.1-r0                             apk                         
ieee754                                1.2.1                               npm                         
ignore                                 5.3.2                               npm                         
immediate                              3.0.6                               npm                         
import-fresh                           3.3.1                               npm                         
imurmurhash                            0.1.4                               npm        (+1 duplicate)   
inherits                               2.0.4                               npm                         
ip-address                             9.0.5                               npm                         
is-arrayish                            0.3.2                               npm                         
is-extglob                             2.1.1                               npm                         
is-fullwidth-code-point                3.0.0                               npm        (+1 duplicate)   
is-glob                                4.0.3                               npm                         
is-number                              7.0.0                               npm                         
is-stream                              2.0.1                               npm                         
isarray                                1.0.0                               npm                         
isexe                                  2.0.0                               npm        (+1 duplicate)   
isexe                                  3.1.1                               npm                         
istanbul-lib-coverage                  3.2.2                               npm                         
istanbul-lib-report                    3.0.1                               npm                         
istanbul-lib-source-maps               5.0.6                               npm                         
istanbul-reports                       3.1.7                               npm                         
jackspeak                              3.4.3                               npm        (+1 duplicate)   
jackspeak                              4.1.0                               npm                         
